,Log2(FC)
Tcl1,-3.01636033
Prdm14,-2.603530172
Dppa3,-2.229225013
Zfp42,-2.019774184
Fgf4,-1.973945847
Tfcp2l1,-1.965710087
Klf4,-1.91206294
Nr5a2,-1.827831749
Esrrb,-1.700460792
Tbx3,-1.636798917
Nr0b1,-1.608263003
Nid1,-1.308544836
Klf15,-1.281503576
Klf2,-1.264261806
Sfrp1,-1.253113714
Tbx15,-1.224829524
Nanog,-1.211561808
Pou2f3,-1.167723424
Nptx2,-1.112256265
Dppa5a,-0.944996564
Fzd5,-0.922757384
Nr4a1,-0.918237089
Klf8,-0.832639074
Pou5f1,-0.742394009
Rest,-0.737717505
Bcl3,-0.695934506
Fbxo15,-0.629379285
Zfp954,0.504797882
Gm11756,0.507587063
Synm,0.51129455
Fbxo16,0.514816031
Antxr1,0.518938014
Mid1ip1,0.523592628
Gm11487,0.547708807
Pde12,0.564681338
Tex11,0.571272559
Hs6st2,0.57561251
Rfpl4b,0.5821942
Zfp54,0.582482529
Cptp,0.587958875
Gm21319,0.596462991
Slc31a1,0.621867335
Dubr,0.635673213
Calhm6,0.64921046
Fzd4,0.668279617
Nmb,0.67709711
BC005537,0.685779971
AU015228,0.69693885
Slc16a1,0.70863047
Nfat5,0.711341338
Pnp,0.730638816
Zfp791,0.732344949
Tchh,0.772244282
Zfp760,0.786480263
Cdkn2c,0.808797634
Ddit4l,0.824042855
Olfr376,0.824775545
Prex2,0.825557913
Ficd,0.836769294
Pramef6,0.878985737
Csrnp3,0.887600036
Efnb2,0.900122271
Ccnjl,0.948519533
G2e3,0.973811355
Gm11238,0.974977559
Gm13083,0.983014326
Sowaha,0.989869483
Tktl1,0.991618513
B930095G15Rik,1.042584041
Tmem132c,1.046038843
Cdkn2d,1.049029753
Kctd12,1.065048696
Tsc22d3,1.092248306
Stk26,1.099025085
Micall1,1.111351263
Usp17lc,1.137229552
Zfp809,1.207384569
Cldn9,1.212217178
Zfp352,1.224828996
Fzd7,1.250367537
Gadd45a,1.276374728
Cd74,1.382970424
AF067063,1.433018384
Plk3,1.471436516
BB287469,1.489519469
Gm4971,1.551608408
Ero1l,1.762552604
Gm13078,1.783794383
Usp17lb,1.808429452
Parp10,1.814398519
Gm12794,1.831300845
1700013H16Rik,1.896580949
Urml,1.960994734
Tmem92,2.030086554
Gm2016,2.078194889
Snai1,2.082544865
Gm21761,2.087510197
Gm2694,2.143008668
Usp17la,2.146125925
Hspa1b,2.155550939
Ints6,2.179117679
Gm8016,2.201914882
B020031M17Rik,2.224662843
BC080695,2.277962519
Hmgn3,2.335236931
Adm,2.371972016
Gm7102,2.383762432
Rad9b,2.389229501
Usp17le,2.407808884
Arl4d,2.475868999
Gm20767,2.523531104
Gm5662,2.540223144
Sfi1,2.599660176
Gm5039,2.64272208
AF067061,2.723282629
Gm2022,2.728651898
Zscan4c,2.743628449
Zscan4a,2.822085709
Gm8300,3.017149824
Zscan4b,3.373313775
Hspa1a,3.633359861
Zfp703,3.758527293
Zscan4d,5.072416693